学校名称,经度_WGS84,纬度_WGS84,经度_GCJ02,纬度_GCJ02,500m内公园数量,500m内公园名称,最近公园名称,最近公园步行距离_米,最近公园步行时间_秒,校内绿地率,外围绿地率,总体绿地率,所属类别
中国人民大学附属小学,116.271905,39.9641,116.277947,39.965328,3,融乐公园; 融乐公园-曙光文化广场公园; 蓝靛厂公园,融乐公园,206,165,8.50%,47.10%,38.80%,校内低_外围高
中国人民大学附属小学亮甲店分校（西校区）,116.26638,39.931862,116.272415,39.933084,1,西木休闲公园,西木休闲公园,395,316,22.90%,38.50%,37.50%,校内低_外围高
中国农业大学附属实验小学,116.347354,40.002136,116.353544,40.003487,0,,清华东路带状公园-东王庄小区公园,910,728,15.50%,44.90%,42.10%,校内低_外围高
中国农业科学院附属小学（农科院校区）,116.3224,39.956433,116.328527,39.957735,0,,北京理工大学中关村校区中心公园,1050,840,20.30%,35.30%,33.90%,校内低_外围高
北京交通大学附属小学（北校区）,116.336129,39.952581,116.342287,39.95391,3,铁科院宿舍区中心花园; 北京交通大学芳华园; 北京交通大学劳动花园,北京交通大学劳动花园,502,402,28.00%,33.10%,32.90%,校内低_外围高
北京医科大学附属小学（花园路校区）,116.357845,39.983864,116.364053,39.985232,0,,元土城遗址公园,1220,976,24.60%,31.00%,30.60%,校内低_外围高
北京外国语大学附属小学（魏公村校区）,116.311805,39.952324,116.317908,39.953607,1,文园(民族大学西路),文园(民族大学西路),586,469,21.60%,32.40%,31.70%,校内低_外围高
北京大学附属小学（肖家河分校）,116.281998,40.019422,116.288057,40.020662,2,肖家河·绿动天地; 厢黄旗公园,肖家河·绿动天地,564,451,23.90%,40.80%,38.60%,校内低_外围高
北京市海淀区万泉小学（北校区）,116.295955,39.969192,116.302029,39.970449,1,万泉河路红领巾街心花园,万泉河路红领巾街心花园,867,694,20.60%,28.80%,27.70%,校内低_外围高
北京石油学院附属小学,116.357452,39.993679,116.363661,39.995047,1,青年园,青年园,322,258,24.20%,35.20%,34.10%,校内低_外围高
北京石油学院附属小学（东校区）,116.361656,39.994922,116.367873,39.996296,0,,青年园,810,648,23.70%,37.10%,35.10%,校内低_外围高
北京邮电大学附属小学（明光村校区）,116.347366,39.953821,116.353549,39.95517,1,美丽北太,美丽北太,608,486,20.90%,28.10%,27.70%,校内低_外围高
北师大实验小学,116.362345,39.961855,116.368558,39.96323,0,,双秀公园,1490,1192,29.70%,29.90%,30.00%,校内低_外围高
海淀区七一小学,116.300934,39.897072,116.307009,39.898333,0,,莲花池公园,1644,1315,23.90%,34.80%,33.00%,校内低_外围高
海淀区中关村第二小学,116.310833,39.986025,116.316939,39.987307,1,中海体育公园,中海体育公园,900,720,22.60%,31.60%,30.90%,校内低_外围高
海淀区九一小学,116.355873,39.977919,116.362077,39.979284,0,,元土城遗址公园,729,583,25.20%,32.70%,31.60%,校内低_外围高
海淀区五一小学（北校区）,116.25798,39.90186,116.264008,39.903076,0,,永定路街道街心公园,1623,1298,16.80%,30.50%,28.90%,校内低_外围高
海淀区五一小学（晋分校区）,116.201511,39.920038,116.207611,39.921295,1,田村城市休闲公园,田村城市休闲公园,976,781,19.00%,34.60%,32.60%,校内低_外围高
