学校名称,经度_GCJ02,纬度_GCJ02,公园名称,公园类型,公园经度,公园纬度,直线距离_米,步行距离_米,步行时间_秒,是否500m内
海淀区五一小学,116.263370,39.901327,永定路街道街心公园,风景名胜;公园广场;公园,116.260050,39.912451,1270,1776,1421,否
海淀区五一小学,116.263370,39.901327,森林健身园,风景名胜;公园广场;公园,116.248084,39.899099,1328,1536,1229,否
海淀区五一小学,116.263370,39.901327,旺景公园,风景名胜;公园广场;公园,116.247465,39.900752,1359,1483,1186,否
海淀区五一小学,116.263370,39.901327,北京国际雕塑公园东区,风景名胜;公园广场;公园,116.247986,39.905970,1411,3050,2440,否
海淀区六一小学,116.287063,39.928528,八里庄休闲园-娱乐园,风景名胜;公园广场;公园,116.288031,39.929326,121,237,190,是
海淀区六一小学,116.287063,39.928528,玲珑街心公园,风景名胜;公园广场;公园,116.285752,39.926226,279,517,414,是
海淀区六一小学,116.287063,39.928528,京门铁路主题公园,风景名胜;公园广场;公园,116.288440,39.932563,464,647,518,是
海淀区六一小学,116.287063,39.928528,慧馨园,风景名胜;公园广场;公园,116.290217,39.924632,510,824,659,否
海淀区六一小学,116.287063,39.928528,玲珑塔公园,风景名胜;公园广场;公园,116.295288,39.929114,705,1138,910,否
海淀区前进小学,116.359973,39.974330,元土城遗址公园,风景名胜;公园广场;公园,116.366139,39.975799,550,680,544,否
海淀区前进小学,116.359973,39.974330,北京航空航天大学学院路校区唯实园,风景名胜;公园广场;公园,116.351288,39.978555,877,1324,1059,否
海淀区前进小学,116.359973,39.974330,北京大学学院路校区中心花园,风景名胜;公园广场;公园,116.356422,39.984139,1133,1828,1462,否
海淀区前进小学,116.359973,39.974330,北京航空航天大学学院路校区南花园,风景名胜;公园广场;公园,116.344691,39.980191,1457,1938,1550,否
海淀区前进小学,116.359973,39.974330,小公园(龙翔路),风景名胜;公园广场;公园,116.375724,39.981235,1547,2023,1618,否
海淀区双榆树中心小学,116.323555,39.968907,双榆树公园,风景名胜;公园广场;公园,116.324810,39.970456,202,262,210,是
海淀区双榆树中心小学,116.323555,39.968907,躺碑庙公园,风景名胜;公园广场;公园,116.329102,39.965722,591,844,675,否
海淀区双榆树中心小学,116.323555,39.968907,知春公园,风景名胜;公园广场;公园,116.325896,39.974074,608,765,612,否
海淀区双榆树中心小学,116.323555,39.968907,乡园,风景名胜;公园广场;公园,116.316634,39.964787,747,1248,998,否
海淀区双榆树中心小学,116.323555,39.968907,北京理工大学中心花园,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,116.319116,39.959538,1109,1650,1320,否
海淀区四王府小学,116.215792,39.997791,国家植物园北园-紫薇园,风景名胜;公园广场;植物园,116.215069,39.995250,289,1175,940,是
海淀区四王府小学,116.215792,39.997791,国家植物园-丰花区,风景名胜;公园广场;植物园,116.212239,39.995364,405,1399,1119,是
海淀区四王府小学,116.215792,39.997791,国家植物园,风景名胜;公园广场;植物园,116.210714,39.998036,433,602,482,是
海淀区四王府小学,116.215792,39.997791,北京植物园-藤本区,风景名胜;公园广场;植物园,116.211520,39.995297,458,850,680,是
海淀区四王府小学,116.215792,39.997791,北京植物园-桃花园,风景名胜;公园广场;植物园,116.209656,40.000137,584,805,644,否
海淀区培英小学,116.277205,39.899611,轮上公园,风景名胜;公园广场;公园,116.277100,39.908431,981,1552,1242,否
海淀区培英小学,116.277205,39.899611,五棵松奥林匹克文化公园,风景名胜;公园广场;公园,116.275228,39.911837,1371,1671,1337,否
海淀区培英小学,116.277205,39.899611,青塔街心广场,风景名胜;公园广场;公园,116.260386,39.892431,1643,2175,1740,否
海淀区培英小学,116.277205,39.899611,岳各庄城市休闲森林公园,风景名胜;公园广场;公园,116.281690,39.884443,1731,2831,2265,否
海淀区培英小学,116.277205,39.899611,生态公园,风景名胜;公园广场;公园,116.285970,39.885106,1779,3123,2498,否
海淀区实验小学（北洼路校区）,116.301066,39.941712,车道沟公园,风景名胜;公园广场;公园,116.294397,39.943911,619,1279,1023,否
海淀区实验小学（北洼路校区）,116.301066,39.941712,宝联体育公园,风景名胜;公园广场;公园,116.299036,39.936229,634,1046,837,否
海淀区实验小学（北洼路校区）,116.301066,39.941712,北洼园,风景名胜;公园广场;公园,116.304305,39.936391,653,918,734,否
海淀区实验小学（北洼路校区）,116.301066,39.941712,南长河公园,风景名胜;公园广场;公园,116.302924,39.950400,980,1673,1338,否
海淀区实验小学（北洼路校区）,116.301066,39.941712,五福玲珑公园,风景名胜;公园广场;公园,116.287733,39.940499,1145,1983,1586,否
海淀区崛起实验学校,116.293242,40.031933,厢黄旗公园-南区,风景名胜;公园广场;公园,116.292606,40.023708,917,1850,1480,否
海淀区崛起实验学校,116.293242,40.031933,厢黄旗公园,风景名胜;公园广场;公园,116.293169,40.022768,1020,1956,1565,否
海淀区崛起实验学校,116.293242,40.031933,树村公园,风景名胜;公园广场;公园,116.304488,40.026141,1155,1934,1547,否
海淀区崛起实验学校,116.293242,40.031933,幸福花园,风景名胜;公园广场;公园,116.309433,40.029881,1398,2126,1701,否
海淀区崛起实验学校,116.293242,40.031933,上地公园,风景名胜;公园广场;公园,116.310318,40.035061,1496,1945,1556,否
海淀区教师进修学校附属实验小学（西冉校区）,116.258668,39.955200,西冉城市生态公园,风景名胜;公园广场;公园,116.260262,39.953757,210,481,385,是
海淀区教师进修学校附属实验小学（西冉校区）,116.258668,39.955200,黑塔公园,风景名胜;公园广场;公园,116.244495,39.956190,1214,1657,1326,否
海淀区教师进修学校附属实验小学（西冉校区）,116.258668,39.955200,南旱河滨水绿廊,风景名胜;公园广场;公园,116.247585,39.946324,1367,1933,1546,否
海淀区教师进修学校附属实验小学（西冉校区）,116.258668,39.955200,蓝靛厂公园,风景名胜;公园广场;公园,116.276269,39.963825,1782,4473,3578,否
海淀区教师进修学校附属实验小学（西冉校区）,116.258668,39.955200,西山公园,风景名胜;公园广场;公园,116.239286,39.947119,1882,2990,2392,否
海淀区教师进修学校附属小学,116.234765,39.956182,黑塔公园,风景名胜;公园广场;公园,116.244495,39.956190,830,1227,982,否
海淀区教师进修学校附属小学,116.234765,39.956182,西山公园,风景名胜;公园广场;公园,116.239286,39.947119,1080,1539,1231,否
海淀区教师进修学校附属小学,116.234765,39.956182,平庄郊野公园,风景名胜;公园广场;公园,116.241051,39.944446,1412,1789,1431,否
海淀区教师进修学校附属小学,116.234765,39.956182,南旱河滨水绿廊,风景名胜;公园广场;公园,116.247585,39.946324,1549,1828,1462,否
海淀区教师进修学校附属小学,116.234765,39.956182,南岸休闲公园,风景名胜;公园广场;公园,116.227605,39.940354,1864,2216,1773,否
海淀区永丰中心小学,116.242091,40.067635,丰滢公园,风景名胜;公园广场;公园,116.249486,40.072213,810,1385,1108,否
海淀区永丰中心小学,116.242091,40.067635,永丰公园,风景名胜;公园广场;公园,116.231476,40.069502,927,1522,1218,否
海淀区永丰中心小学,116.242091,40.067635,悦康公园,风景名胜;公园广场;公园,116.236806,40.082608,1726,2478,1982,否
海淀区永丰中心小学,116.242091,40.067635,航天湖公园,风景名胜;公园广场;公园,116.263445,40.070757,1852,3299,2639,否
海淀区永丰中心小学,116.242091,40.067635,五一渠生态滨河公园,风景名胜;公园广场;公园,116.253315,40.052800,1908,2499,1999,否
海淀区清河第四小学,116.371505,40.065446,翡丽公园,风景名胜;公园广场;公园,116.370392,40.065694,98,193,154,是
海淀区清河第四小学,116.371505,40.065446,新都公园,风景名胜;公园广场;公园,116.366178,40.063263,514,602,482,否
海淀区清河第四小学,116.371505,40.065446,奥北中央公园,风景名胜;公园广场;公园,116.388498,40.067420,1464,1710,1368,否
海淀区清河第四小学,116.371505,40.065446,新康园社区口袋公园,风景名胜;公园广场;公园,116.350916,40.065250,1754,2336,1869,否
海淀区清河第四小学,116.371505,40.065446,贺新公园,风景名胜;公园广场;公园,116.390450,40.057379,1847,2657,2126,否
海淀区科技园小学大牛坊校区,116.240537,40.067330,永丰公园,风景名胜;公园广场;公园,116.231476,40.069502,808,1356,1085,否
海淀区科技园小学大牛坊校区,116.240537,40.067330,丰滢公园,风景名胜;公园广场;公园,116.249486,40.072213,936,1493,1194,否
